Angle_deg,xs_mb_sr,Direct_mb_sr,Compound_mb_sr,xs_Rutherford,Nuc_interfer,beam_energy_MeV
0.0,3.2482999999999994e+29,3.2482999999999994e+29,31.22704,1.0,0.0,5.4
2.0,202313000.0,202313000.0,31.22704,0.99907,-188334.3,5.4
4.0,12662230.0,12662200.0,31.22704,0.999841,-2013.614,5.4
6.0,2523571.0,2523540.0,31.22704,1.00776,19432.17,5.4
8.0,805385.2,805354.0,31.22704,1.01501,11910.06,5.4
10.0,330596.2,330565.0,31.22704,1.01528,4975.491,5.4
12.0,158444.2,158413.0,31.22704,1.00663,1043.554,5.4
14.0,84366.12,84334.9,31.22704,0.990214,-833.7642,5.4
16.0,48540.93,48509.7,31.22704,0.968708,-1568.01,5.4
18.0,29685.43,29654.2,31.22704,0.945277,-1718.519,5.4
20.0,19100.23,19069.0,31.22704,0.922896,-1595.741,5.4
22.0,12843.83,12812.6,31.22704,0.904015,-1363.711,5.4
24.0,8983.467,8952.24,31.22704,0.890411,-1105.656,5.4
26.0,6510.857,6479.63,31.22704,0.883172,-861.2709,5.4
28.0,4872.847,4841.62,31.22704,0.882743,-647.2726,5.4
30.0,3753.257,3722.03,31.22704,0.889012,-468.5724,5.4
32.0,2965.027,2933.8,31.22704,0.901418,-324.2652,5.4
34.0,2394.187,2362.96,31.22704,0.919055,-210.8661,5.4
36.0,1969.487,1938.26,31.22704,0.940772,-123.9926,5.4
38.0,1645.357,1614.13,31.22704,0.96527,-59.19934,5.4
40.0,1392.057,1360.83,31.22704,0.99118,-12.38721,5.4
42.0,1189.787,1158.56,31.22704,1.01713,20.03784,5.4
44.0,1025.141,993.914,31.22704,1.04182,41.15054,5.4
46.0,888.8541,857.627,31.22704,1.06403,53.48849,5.4
48.0,774.423,743.196,31.22704,1.08268,59.13964,5.4
50.0,677.197,645.97,31.22704,1.09685,59.79536,5.4
52.0,593.787,562.56,31.22704,1.10581,56.81683,5.4
54.0,521.6771,490.45,31.22704,1.10898,51.26542,5.4
56.0,458.962,427.735,31.22704,1.106,43.98729,5.4
58.0,404.1721,372.945,31.22704,1.09666,35.62387,5.4
60.0,356.1511,324.924,31.22704,1.08095,26.67139,5.4
62.0,313.975,282.748,31.22704,1.05901,17.49528,5.4
64.0,276.885,245.658,31.22704,1.03113,8.35919,5.4
66.0,244.257,213.03,31.22704,0.997743,-0.5525376,5.4
68.0,215.563,184.336,31.22704,0.959397,-9.122913,5.4
70.0,190.352,159.125,31.22704,0.91674,-17.28813,5.4
72.0,168.237,137.01,31.22704,0.870501,-25.02758,5.4
74.0,148.879,117.652,31.22704,0.821472,-32.35543,5.4
76.0,131.98,100.753,31.22704,0.770492,-39.31315,5.4
78.0,117.2772,86.0502,31.22704,0.718425,-45.96491,5.4
80.0,104.5357,73.3087,31.22704,0.666144,-52.39089,5.4
82.0,93.54553,62.3185,31.22704,0.614513,-58.68157,5.4
84.0,84.11803,52.891,31.22704,0.564375,-64.92832,5.4
86.0,76.08334,44.8563,31.22704,0.516534,-71.21256,5.4
88.0,69.28813,38.0611,31.22704,0.471747,-77.58749,5.4
90.0,63.59383,32.3668,31.22704,0.430707,-84.05604,5.4
92.0,58.87494,27.6479,31.22704,0.394041,-90.53828,5.4
94.0,55.01814,23.7911,31.22704,0.362299,-96.84023,5.4
96.0,51.92064,20.6936,31.22704,0.335948,-102.629,5.4
98.0,49.48964,18.2626,31.22704,0.315372,-107.435,5.4
100.0,47.64133,16.4143,31.22704,0.30087,-110.7039,5.4
102.0,46.30014,15.0731,31.22704,0.292655,-111.9071,5.4
104.0,45.39824,14.1712,31.22704,0.290855,-110.6872,5.4
106.0,44.87453,13.6475,31.22704,0.295522,-106.9738,5.4
108.0,44.67454,13.4475,31.22704,0.306629,-101.0212,5.4
110.0,44.74953,13.5225,31.22704,0.324084,-93.33051,5.4
112.0,45.05634,13.8293,31.22704,0.347729,-84.5168,5.4
114.0,45.55684,14.3298,31.22704,0.377353,-75.17053,5.4
116.0,46.21714,14.9901,31.22704,0.412695,-65.77148,5.4
118.0,47.00784,15.7808,31.22704,0.453453,-56.65855,5.4
120.0,47.90294,16.6759,31.22704,0.499293,-48.03859,5.4
122.0,48.88023,17.6532,31.22704,0.549848,-40.01748,5.4
124.0,49.92023,18.6932,31.22704,0.604735,-32.6287,5.4
126.0,51.00613,19.7791,31.22704,0.66355,-25.86242,5.4
128.0,52.12383,20.8968,31.22704,0.725876,-19.68435,5.4
130.0,53.26093,22.0339,31.22704,0.791291,-14.04798,5.4
132.0,54.40694,23.1799,31.22704,0.859361,-8.903982,5.4
134.0,55.55313,24.3261,31.22704,0.92965,-4.203905,5.4
136.0,56.69183,25.4648,31.22704,1.00172,0.09733826,5.4
138.0,57.81644,26.5894,31.22704,1.07512,4.039707,5.4
140.0,58.92144,27.6944,31.22704,1.14942,7.659551,5.4
142.0,60.00183,28.7748,31.22704,1.22415,10.98673,5.4
144.0,61.05334,29.8263,31.22704,1.29888,14.04874,5.4
146.0,62.07204,30.845,31.22704,1.37313,16.86726,5.4
148.0,63.05424,31.8272,31.22704,1.44646,19.46213,5.4
150.0,63.99673,32.7697,31.22704,1.51841,21.84953,5.4
152.0,64.89624,33.6692,31.22704,1.58851,24.04271,5.4
154.0,65.74974,34.5227,31.22704,1.65631,26.05322,5.4
156.0,66.55434,35.3273,31.22704,1.72135,27.8903,5.4
158.0,67.30714,36.0801,31.22704,1.78319,29.56178,5.4
160.0,68.00554,36.7785,31.22704,1.84137,31.07351,5.4
162.0,68.64664,37.4196,31.22704,1.89549,32.43087,5.4
164.0,69.22813,38.0011,31.22704,1.94513,33.63764,5.4
166.0,69.74744,38.5204,31.22704,1.98992,34.69706,5.4
168.0,70.20244,38.9754,31.22704,2.02951,35.61161,5.4
170.0,70.59114,39.3641,31.22704,2.06357,36.38288,5.4
172.0,70.91164,39.6846,31.22704,2.09184,37.01247,5.4
174.0,71.16254,39.9355,31.22704,2.11407,37.50114,5.4
176.0,71.34264,40.1156,31.22704,2.13009,37.84986,5.4
178.0,71.45103,40.224,31.22704,2.13975,38.0588,5.4
180.0,71.48724,40.2602,31.22704,2.14298,38.12844,5.4
0.0,3.1315699999999997e+29,3.1315699999999997e+29,31.64489,1.0,0.0,5.5
2.0,195025000.0,195025000.0,31.64489,0.998982,-198730.7,5.5
4.0,12210330.0,12210300.0,31.64489,1.0001,1221.236,5.5
6.0,2434682.0,2434650.0,31.64489,1.0085,20520.31,5.5
8.0,777029.6,776998.0,31.64489,1.01577,12063.46,5.5
10.0,318780.7,318749.0,31.64489,1.01548,4859.514,5.5
12.0,152626.6,152595.0,31.64489,1.00581,881.6425,5.5
14.0,81163.75,81132.1,31.64489,0.988117,-976.0714,5.5
16.0,46632.75,46601.1,31.64489,0.965284,-1677.128,5.5
18.0,28479.84,28448.2,31.64489,0.940636,-1797.376,5.5
20.0,18303.24,18271.6,31.64489,0.917266,-1650.884,5.5
22.0,12297.44,12265.8,31.64489,0.897697,-1401.438,5.5
24.0,8597.564,8565.92,31.64489,0.883745,-1130.994,5.5
26.0,6231.235,6199.59,31.64489,0.8765,-877.9893,5.5
28.0,4665.665,4634.02,31.64489,0.876387,-658.0847,5.5
30.0,3596.675,3565.03,31.64489,0.883254,-475.3981,5.5
32.0,2844.545,2812.9,31.64489,0.896487,-328.4458,5.5
34.0,2299.945,2268.3,31.64489,0.915121,-213.3236,5.5
36.0,1894.625,1862.98,31.64489,0.937941,-125.358,5.5
38.0,1585.055,1553.41,31.64489,0.963584,-59.90272,5.5
40.0,1342.825,1311.18,31.64489,0.990619,-12.71637,5.5
42.0,1149.105,1117.46,31.64489,1.01762,19.89658,5.5
44.0,991.1329,959.488,31.64489,1.04323,41.0712,5.5
46.0,860.1219,828.477,31.64489,1.06618,53.38952,5.5
48.0,749.9109,718.266,31.64489,1.08536,58.97808,5.5
50.0,656.0969,624.452,31.64489,1.09984,59.55842,5.5
52.0,575.4759,543.831,31.64489,1.10884,56.48677,5.5
54.0,505.6679,474.023,31.64489,1.11179,50.84467,5.5
56.0,444.8739,413.229,31.64489,1.10832,43.47908,5.5
58.0,391.7019,360.057,31.64489,1.09823,35.03535,5.5
60.0,345.0579,313.413,31.64489,1.08152,26.00887,5.5
62.0,304.0619,272.417,31.64489,1.05835,16.76384,5.5
64.0,267.9949,236.35,31.64489,1.02904,7.562943,5.5
66.0,236.2579,204.613,31.64489,0.994045,-1.415332,5.5
68.0,208.3479,176.703,31.64489,0.953955,-10.05643,5.5
70.0,183.8319,152.187,31.64489,0.909454,-18.30246,5.5
72.0,162.3369,130.692,31.64489,0.861313,-26.13918,5.5
74.0,143.5349,111.89,31.64489,0.810366,-33.58865,5.5
76.0,127.1386,95.4937,31.64489,0.757494,-40.70247,5.5
78.0,112.8914,81.2465,31.64489,0.703604,-47.55595,5.5
80.0,100.5651,68.9202,31.64489,0.649611,-54.24308,5.5
82.0,89.9547,58.3098,31.64489,0.596417,-60.87048,5.5
84.0,80.87579,49.2309,31.64489,0.544902,-67.54684,5.5
86.0,73.1619,41.517,31.64489,0.495903,-74.37077,5.5
88.0,66.6624,35.0175,31.64489,0.450202,-81.40981,5.5
90.0,61.2411,29.5962,31.64489,0.408519,-88.66895,5.5
92.0,56.77429,25.1294,31.64489,0.371497,-96.05141,5.5
94.0,53.15019,21.5053,31.64489,0.339698,-103.3129,5.5
96.0,50.26759,18.6227,31.64489,0.313597,-110.026,5.5
98.0,48.03459,16.3897,31.64489,0.293581,-115.5816,5.5
100.0,46.36849,14.7236,31.64489,0.279942,-119.2676,5.5
102.0,45.19469,13.5498,31.64489,0.272885,-120.4234,5.5
104.0,44.44589,12.801,31.64489,0.272527,-118.6421,5.5
106.0,44.06189,12.417,31.64489,0.2789,-113.9227,5.5
108.0,43.98889,12.344,31.64489,0.291959,-106.6792,5.5
110.0,44.17879,12.5339,31.64489,0.311588,-97.60714,5.5
112.0,44.58909,12.9442,31.64489,0.337606,-87.48525,5.5
114.0,45.18229,13.5374,31.64489,0.369774,-77.00665,5.5
116.0,45.92519,14.2803,31.64489,0.407808,-66.68955,5.5
118.0,46.78899,15.1441,31.64489,0.45138,-56.86866,5.5
120.0,47.74849,16.1036,31.64489,0.50013,-47.72367,5.5
122.0,48.78209,17.1372,31.64489,0.553672,-39.32439,5.5
124.0,49.8709,18.226,31.64489,0.611599,-31.67092,5.5
126.0,50.99889,19.354,31.64489,0.673491,-24.72431,5.5
128.0,52.1526,20.5077,31.64489,0.738917,-18.42718,5.5
130.0,53.3204,21.6755,31.64489,0.807437,-12.71621,5.5
132.0,54.49239,22.8475,31.64489,0.87861,-7.528747,5.5
134.0,55.66039,24.0155,31.64489,0.95199,-2.807023,5.5
136.0,56.81729,25.1724,31.64489,1.02713,1.50074,5.5
138.0,57.95729,26.3124,31.64489,1.10358,5.439766,5.5
140.0,59.0751,27.4302,31.64489,1.18089,9.049187,5.5
142.0,60.16629,28.5214,31.64489,1.2586,12.36215,5.5
144.0,61.22709,29.5822,31.64489,1.33626,15.40735,5.5
146.0,62.25369,30.6088,31.64489,1.41341,18.20866,5.5
148.0,63.243,31.5981,31.64489,1.48958,20.78607,5.5
150.0,64.19189,32.547,31.64489,1.56431,23.15661,5.5
152.0,65.09729,33.4524,31.64489,1.63712,25.33399,5.5
154.0,65.9563,34.3114,31.64489,1.70754,27.3298,5.5
156.0,66.7663,35.1214,31.64489,1.77511,29.15381,5.5
158.0,67.52419,35.8793,31.64489,1.83936,30.81349,5.5
160.0,68.22749,36.5826,31.64489,1.89984,32.31526,5.5
162.0,68.8734,37.2285,31.64489,1.95611,33.66403,5.5
